NORAD_CAT_ID,SATNAME,PER_ALT,APO_ALT,LAT,LON,TLE_LINE1,TLE_LINE2,SATNAME_CLEAN,SAT_GROUP,Inc
13192,COSMOS 1260 DEB,207,234.7,,,1 13192U 81028  Q 85165.43073083  .04604559 +97066-5 +23598-2 0  9993,2 13192 064.9597 288.1383 0020992 287.5046 072.7997 16.19515702151257,COSMOS 1260 DEB,COSMOS,65.0
13193,COSMOS 1260 DEB,331.3,447.9,,,1 13193U 81028  R 82164.78274691  .06990414 +00000-0 +73470-1 0  9996,2 13193 064.6082 218.7906 0086105 306.7287 052.6022 15.59328443067971,COSMOS 1260 DEB,COSMOS,64.6
13194,COSMOS 1260 DEB,207.4,250.8,,,1 13194U 81028  S 82244.21359900  .20369177 +98210-5 +12347-1 0  9994,2 13194 064.8837 322.7226 0032874 343.8103 016.2018 16.16485351080068,COSMOS 1260 DEB,COSMOS,64.9
13195,COSMOS 1260 DEB,434,699.7,,,1 13195U 81028  T 82149.55839072  .00115346 +00000-0 +62521-2 0  9999,2 13195 064.8700 269.5526 0191254 315.5529 043.4889 15.00019174065648,COSMOS 1260 DEB,COSMOS,64.9
13196,COSMOS 1260 DEB,267.9,319.6,,,1 13196U 81028  U 82150.65488901  .52092597 +29744-5 +13687+0 0  9990,2 13196 064.8511 263.8628 0038747 323.8654 039.2807 15.93061884065849,COSMOS 1260 DEB,COSMOS,64.9
13197,COSMOS 1260 DEB,223.1,239.8,,,1 13197U 81028  V 84344.91325149  .03120476 +65119-5 +21995-2 0  9995,2 13197 064.9752 173.5945 0012640 277.6398 082.3692 16.15639998129262,COSMOS 1260 DEB,COSMOS,65.0
13198,COSMOS 1260 DEB,282.2,324,,,1 13198U 81028  W 82270.97876618  .15682805 +00000-0 +50384-1 0  9998,2 13198 064.8672 243.0085 0031261 262.8876 096.8694 15.89719520083999,COSMOS 1260 DEB,COSMOS,64.9
13199,COSMOS 1260 DEB,298.7,374.5,,,1 13199U 81028  X 82241.89617180  .05366945 +00000-0 +28365-1 0  9992,2 13199 064.9168 333.1789 0056438 312.8170 048.4031 15.77814217079684,COSMOS 1260 DEB,COSMOS,64.9
13200,COSMOS 1260 DEB,345.9,450.2,,,1 13200U 81028  Y 82168.39258785  .04063581 +00000-0 +49776-1 0  9998,2 13200 064.9308 208.8354 0076947 308.2598 051.1599 15.56413910002115,COSMOS 1260 DEB,COSMOS,64.9
13201,COSMOS 1260 DEB,419.7,651.5,,,1 13201U 81028  Z 82181.46212431  .00295754 +00000-0 +12855-1 0  9993,2 13201 064.9490 169.6829 0167638 307.1508 051.0829 15.10193965002240,COSMOS 1260 DEB,COSMOS,64.9
